City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Alice Springs,AU,73.99,clear sky,-23.7,133.8833,Desert Palms Alice Springs
442,Namibe,AO,81.1,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
443,Simao,CN,84.47,clear sky,22.7886,100.9748,Changyu Hotel
446,Campo Maior,BR,72.05,light rain,-4.8278,-42.1686,Elite Hotel
447,Hirara,JP,75.2,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
450,Antalaha,MG,77.22,light rain,-14.9003,50.2788,Hotel Vitasoa
451,Noumea,NC,84.2,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
452,Lahad Datu,MY,83.73,overcast clouds,5.0268,118.32700000000001,The 27th House
453,Cockburn Town,TC,78.28,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
454,Nador,MA,57.2,few clouds,35.174,-2.9287,Hôtel La Giralda
455,Puerto Lopez,CO,74.5,overcast clouds,4.0845,-72.956,Resguardo Indigena Maguare
459,Darlawn,IN,75.2,mist,24.0167,92.9,BNRGSK BUILDING
460,Jega,NG,83.25,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
462,Gijon,ES,53.01,overcast clouds,43.5357,-5.6615,Miramar
464,Yola,NG,80.83,overcast clouds,9.2,12.4833,Muna Hotel
465,Acapulco,MX,75.52,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
466,Cururupu,BR,74.08,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
467,Wajir,KE,73.4,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
468,Hervey Bay,AU,78.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
469,Dakar,SN,68.0,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
472,Midland,US,51.8,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
473,Phalaborwa,ZA,55.4,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
475,Urucara,BR,71.49,overcast clouds,-2.5364,-57.76,Hotel japa
477,Ambilobe,MG,79.63,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
